timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-09T22:45:31.803919,1.71,2.1,1.98,1.8,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T22:45:13Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.12, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 2.0, ""under_odds"": 1.76}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T22:42:20Z"", ""home_moneyline_odds"": 1.83, ""away_moneyline_odds"": 2.0, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.5, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T22:43:33Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.6, ""total_line"": 8.5, ""over_odds"": 1.98, ""under_odds"": 1.8}]"
2026-06-09T22:45:31.845472,2.525,1.545,1.91,1.91,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T22:45:13Z"", ""home_moneyline_odds"": 2.46, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T22:45:13Z"", ""home_moneyline_odds"": 2.59, ""away_moneyline_odds"": 1.52, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T00:32:48.418269,2.4,1.56,2.2,1.64,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T00:32:40Z"", ""home_moneyline_odds"": 2.48, ""away_moneyline_odds"": 1.52, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 7.5, ""over_odds"": 2.18, ""under_odds"": 1.63}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T00:32:00Z"", ""home_moneyline_odds"": 2.36, ""away_moneyline_odds"": 1.56, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.2, ""under_odds"": 1.64}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T00:32:40Z"", ""home_moneyline_odds"": 2.4, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 7.5, ""over_odds"": 2.2, ""under_odds"": 1.65}]"
2026-06-10T00:32:48.463811,2.525,1.545,1.91,1.91,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T00:32:40Z"", ""home_moneyline_odds"": 2.46, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.87, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T00:32:00Z"", ""home_moneyline_odds"": 2.59, ""away_moneyline_odds"": 1.52, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T00:38:41.307534,3.65,1.27,2.05,1.73,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T00:37:09Z"", ""home_moneyline_odds"": 3.85, ""away_moneyline_odds"": 1.25, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.12, ""total_line"": 8.5, ""over_odds"": 2.06, ""under_odds"": 1.71}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T00:37:48Z"", ""home_moneyline_odds"": 3.65, ""away_moneyline_odds"": 1.27, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.05, ""total_line"": 8.5, ""over_odds"": 2.05, ""under_odds"": 1.73}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T00:38:24Z"", ""home_moneyline_odds"": 3.6, ""away_moneyline_odds"": 1.29, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 7.5, ""over_odds"": 1.69, ""under_odds"": 2.1}]"
2026-06-10T00:38:41.351813,2.525,1.545,1.91,1.91,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T00:38:25Z"", ""home_moneyline_odds"": 2.46, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.87, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T00:37:48Z"", ""home_moneyline_odds"": 2.59, ""away_moneyline_odds"": 1.52, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T01:18:08.020136,34.0,1.01,1.68,2.12,10.5,16.5,"BetMGM, DraftKings, FanDuel",SUSPICIOUS,home moneyline above 10.00; away moneyline below 1.05; spread abs value above 2.5; total outside 5.0-14.5,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T01:17:45Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": 10.5, ""home_spread_odds"": 1.88, ""total_line"": 16.5, ""over_odds"": 2.08, ""under_odds"": 1.69}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T01:18:04Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": 11.5, ""home_spread_odds"": 1.74, ""total_line"": 16.5, ""over_odds"": 1.68, ""under_odds"": 2.12}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T01:17:29Z"", ""home_moneyline_odds"": 34.0, ""away_moneyline_odds"": 1.01, ""home_spread_line"": 10.5, ""home_spread_odds"": 2.1, ""total_line"": 15.5, ""over_odds"": 1.44, ""under_odds"": 2.75}]"
2026-06-10T01:18:08.061744,2.55,1.53,1.95,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T01:17:45Z"", ""home_moneyline_odds"": 2.46, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.9, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T01:18:04Z"", ""home_moneyline_odds"": 2.59, ""away_moneyline_odds"": 1.52, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T01:17:29Z"", ""home_moneyline_odds"": 2.55, ""away_moneyline_odds"": 1.53, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T02:23:42.284585,2.63,1.51,1.93,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T02:23:29Z"", ""home_moneyline_odds"": 2.64, ""away_moneyline_odds"": 1.51, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T02:22:53Z"", ""home_moneyline_odds"": 2.63, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T02:23:13Z"", ""home_moneyline_odds"": 2.55, ""away_moneyline_odds"": 1.53, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T04:15:55.523472,2.64,1.5,1.94,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T04:15:43Z"", ""home_moneyline_odds"": 2.64, ""away_moneyline_odds"": 1.51, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T04:15:26Z"", ""home_moneyline_odds"": 2.63, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T04:15:25Z"", ""home_moneyline_odds"": 2.65, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T05:38:57.093134,2.64,1.5,1.94,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T05:38:33Z"", ""home_moneyline_odds"": 2.64, ""away_moneyline_odds"": 1.51, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T05:38:33Z"", ""home_moneyline_odds"": 2.63, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T05:38:51Z"", ""home_moneyline_odds"": 2.65, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T06:19:13.045463,2.64,1.5,1.94,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T06:18:47Z"", ""home_moneyline_odds"": 2.64, ""away_moneyline_odds"": 1.51, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T06:18:11Z"", ""home_moneyline_odds"": 2.63, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.97, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T06:19:04Z"", ""home_moneyline_odds"": 2.65, ""away_moneyline_odds"": 1.5, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
