timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-04T01:09:48.831304,1.01,34.0,2.1,1.71,-6.5,10.5,"BetMGM, DraftKings, FanDuel",SUSPICIOUS,home moneyline below 1.05; away moneyline above 10.00; spread abs value above 2.5,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T01:09:30Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": -6.5, ""home_spread_odds"": 1.43, ""total_line"": 10.5, ""over_odds"": 2.12, ""under_odds"": 1.68}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T01:08:53Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": -6.5, ""home_spread_odds"": 1.44, ""total_line"": 10.5, ""over_odds"": 2.06, ""under_odds"": 1.73}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T01:08:57Z"", ""home_moneyline_odds"": 1.01, ""away_moneyline_odds"": 34.0, ""home_spread_line"": -6.5, ""home_spread_odds"": 1.45, ""total_line"": 10.5, ""over_odds"": 2.1, ""under_odds"": 1.71}]"
2026-06-04T01:09:48.859429,1.83,2.0,1.91,1.91,-1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T01:09:30Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T01:08:53Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.02, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.49, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T01:08:57Z"", ""home_moneyline_odds"": 1.83, ""away_moneyline_odds"": 2.0, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-04T03:54:57.725030,1.85,1.98,1.91,1.91,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T03:54:51Z"", ""home_moneyline_odds"": 1.89, ""away_moneyline_odds"": 1.96, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T03:54:51Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T03:54:13Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T06:08:01.472619,1.87,1.95,1.85,1.98,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T06:07:26Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T06:07:45Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 10.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T06:07:26Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T06:16:57.565763,1.87,1.95,1.85,1.98,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T06:16:43Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T06:16:24Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 10.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T06:16:06Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T06:32:58.483558,1.87,1.95,1.85,1.98,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T06:32:40Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T06:32:22Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 10.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T06:32:04Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T06:47:05.053649,1.87,1.95,1.96,1.86,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T06:46:46Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T06:47:04Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.96, ""under_odds"": 1.86}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T06:46:46Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T07:01:29.248584,1.87,1.95,1.96,1.86,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T07:01:24Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T06:59:14Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.96, ""under_odds"": 1.86}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T07:01:23Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T07:06:14.949107,1.87,1.95,1.96,1.86,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T07:06:02Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T07:05:24Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.96, ""under_odds"": 1.86}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T07:05:06Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-04T07:24:14.204484,1.87,1.95,1.96,1.86,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T07:23:56Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.93, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 10.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T07:23:56Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.96, ""under_odds"": 1.86}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-04T07:23:38Z"", ""home_moneyline_odds"": 1.87, ""away_moneyline_odds"": 1.95, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
