timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-04T20:06:21.088307,2.1,1.77,2.0,1.82,1.5,8.0,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T20:06:01Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}]"
2026-06-04T22:22:25.681446,2.095,1.765,1.975,1.85,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-04T22:22:25Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-04T22:22:06Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}]"
2026-06-05T00:07:17.065567,2.095,1.765,1.985,1.835,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T00:07:16Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T00:06:38Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}]"
2026-06-05T00:24:23.719394,2.095,1.765,1.985,1.835,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T00:24:18Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T00:24:12Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}]"
2026-06-05T00:45:29.337098,2.095,1.765,1.985,1.835,1.5,8.0,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T00:45:22Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T00:45:04Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}]"
2026-06-05T01:29:59.151466,2.1,1.76,2.0,1.83,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T01:29:27Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T01:29:45Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T01:29:10Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.65, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-05T01:52:18.590561,2.1,1.76,2.0,1.83,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T01:52:08Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T01:52:08Z"", ""home_moneyline_odds"": 2.09, ""away_moneyline_odds"": 1.76, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T01:50:40Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.65, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-05T03:10:23.497285,2.1,1.74,1.84,1.98,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T03:10:08Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T03:09:50Z"", ""home_moneyline_odds"": 2.13, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.64, ""total_line"": 7.5, ""over_odds"": 1.84, ""under_odds"": 1.99}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T03:10:07Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.65, ""total_line"": 8.0, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-05T05:35:36.012507,2.13,1.74,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T05:35:27Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T05:35:26Z"", ""home_moneyline_odds"": 2.13, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.63, ""total_line"": 8.0, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T05:35:25Z"", ""home_moneyline_odds"": 2.15, ""away_moneyline_odds"": 1.71, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-05T08:58:31.929995,2.13,1.74,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T08:58:13Z"", ""home_moneyline_odds"": 2.1, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T08:57:40Z"", ""home_moneyline_odds"": 2.13, ""away_moneyline_odds"": 1.74, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.63, ""total_line"": 8.0, ""over_odds"": 1.97, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T08:57:39Z"", ""home_moneyline_odds"": 2.15, ""away_moneyline_odds"": 1.71, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
