timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-10T06:19:13.058575,2.4,1.6,1.85,1.97,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T06:18:47Z"", ""home_moneyline_odds"": 2.4, ""away_moneyline_odds"": 1.6, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 12.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T06:18:11Z"", ""home_moneyline_odds"": 2.39, ""away_moneyline_odds"": 1.6, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 12.0, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T06:19:04Z"", ""home_moneyline_odds"": 2.4, ""away_moneyline_odds"": 1.59, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 12.0, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-10T12:08:07.954144,2.4,1.6,1.88,1.94,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T12:08:06Z"", ""home_moneyline_odds"": 2.4, ""away_moneyline_odds"": 1.6, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.93, ""total_line"": 12.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T12:07:46Z"", ""home_moneyline_odds"": 2.39, ""away_moneyline_odds"": 1.6, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.96, ""total_line"": 12.5, ""over_odds"": 1.97, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T12:08:06Z"", ""home_moneyline_odds"": 2.45, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.0, ""total_line"": 12.0, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-10T16:07:00.123301,2.44,1.57,1.94,1.88,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T16:06:33Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.58, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.96, ""total_line"": 12.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T16:05:52Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.97, ""total_line"": 12.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T16:06:12Z"", ""home_moneyline_odds"": 2.45, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.98, ""total_line"": 12.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T18:54:42.210622,2.44,1.57,1.94,1.88,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T18:54:12Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.58, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 12.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T18:54:30Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.97, ""total_line"": 12.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T18:54:32Z"", ""home_moneyline_odds"": 2.45, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.0, ""total_line"": 12.0, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-10T18:54:42.224030,2.295,1.645,1.91,1.91,1.5,11.25,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T18:54:12Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 11.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T18:54:30Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 11.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-10T21:47:53.956438,2.44,1.57,1.94,1.88,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T21:47:49Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.58, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.95, ""total_line"": 12.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T21:47:31Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.97, ""total_line"": 12.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T21:46:29Z"", ""home_moneyline_odds"": 2.45, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.0, ""total_line"": 12.0, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-10T21:47:53.975269,2.29,1.65,1.95,1.87,1.5,11.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-10T21:47:49Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 11.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-10T21:47:31Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 11.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-10T21:46:29Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 11.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-11T01:48:43.487535,3.0,1.38,1.98,1.8,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-11T01:48:34Z"", ""home_moneyline_odds"": 3.0, ""away_moneyline_odds"": 1.38, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.04, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.72}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-11T01:47:55Z"", ""home_moneyline_odds"": 2.95, ""away_moneyline_odds"": 1.38, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.08, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-11T01:48:14Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.69, ""total_line"": 7.5, ""over_odds"": 1.98, ""under_odds"": 1.8}]"
2026-06-11T01:48:43.506590,2.29,1.65,1.87,1.95,1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-11T01:48:34Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.8, ""total_line"": 11.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-11T01:47:55Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 11.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-11T01:48:14Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 11.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-11T04:33:09.364636,2.29,1.65,1.87,1.95,1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-11T04:32:50Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.8, ""total_line"": 11.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-11T04:32:17Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 11.0, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-11T04:31:36Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.87, ""total_line"": 11.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
