game_id,game_date,start_time,captured_at,home_team,away_team,home_probable_pitcher_id,away_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_name,home_sp_fip,away_sp_fip,sp_fip_diff,home_sp_k_pct,away_sp_k_pct,k_pct_diff,home_sp_bb_pct,away_sp_bb_pct,bb_pct_diff,home_sp_csw_proxy,away_sp_csw_proxy,sp_csw_diff,home_sp_stuff_plus_proxy,away_sp_stuff_plus_proxy,sp_stuff_plus_diff,pitcher_advanced_source_status,pitcher_advanced_reason,pitcher_advanced_captured_at
822717,2026-06-25,2026-06-25T22:45:00+00:00,2026-06-25T22:27:03.058701+00:00,Washington Nationals,Philadelphia Phillies,676917.0,650911.0,Cade Cavalli,Cristopher Sánchez,3.532,2.3636,1.1684,0.238,0.2829,-0.0449,0.0775,0.0468,0.0307,0.3302,0.368,-0.0378,104.0,114.46,-10.46,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822718,2026-06-23,2026-06-23T22:45:00+00:00,2026-06-23T21:04:58.426477+00:00,Washington Nationals,Philadelphia Phillies,676571.0,666200.0,PJ Poulin,Jesús Luzardo,5.0806,3.0897,1.9909,0.1549,0.2802,-0.1253,0.1338,0.0797,0.0541,0.2606,0.3503,-0.0897,86.54,109.37,-22.83,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822719,2026-06-24,2026-06-24T22:45:00+00:00,2026-06-24T21:40:46.563377+00:00,Washington Nationals,Philadelphia Phillies,687223.0,605400.0,Carson Palmquist,Aaron Nola,2.2,4.8479,-2.6479,0.25,0.2316,0.0184,0.0833,0.0763,0.007,0.3334,0.3276,0.0058,108.74,99.51,9.23,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822720,2026-06-22,2026-06-22T22:45:00+00:00,2026-06-22T21:09:28.267174+00:00,Washington Nationals,Philadelphia Phillies,656492.0,641835.0,Foster Griffin,Tim Mayza,4.1983,3.2091,0.9892,0.245,0.2483,-0.0033,0.0625,0.0483,0.0142,0.3412,0.35,-0.0088,103.91,108.34,-4.43,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822721,2026-06-17,2026-06-17T17:05:00+00:00,2026-06-17T13:54:21.557616+00:00,Washington Nationals,Kansas City Royals,641793.0,679883.0,Zack Littell,Luinder Avila,6.4625,4.6429,1.8196,0.1408,0.2087,-0.0679,0.0718,0.1456,-0.0738,0.2845,0.2815,0.003,85.95,92.29,-6.34,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822722,2026-06-14,2026-06-14T17:35:00+00:00,2026-06-14T12:01:32.809155+00:00,Washington Nationals,Seattle Mariners,571945.0,676106.0,Miles Mikolas,Emerson Hancock,5.3112,3.7618,1.5494,0.1346,0.2417,-0.1071,0.052,0.0611,-0.0091,0.2913,0.3403,-0.049,90.37,105.0,-14.63,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822723,2026-06-16,2026-06-16T22:45:00+00:00,2026-06-16T21:14:10.018628+00:00,Washington Nationals,Kansas City Royals,656492.0,608379.0,Foster Griffin,Michael Wacha,4.1983,3.689,0.5093,0.245,0.1918,0.0532,0.0625,0.0685,-0.006,0.3412,0.3116,0.0296,103.91,99.63,4.28,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822724,2026-06-15,2026-06-15T22:45:00+00:00,2026-06-15T10:30:49.037896+00:00,Washington Nationals,Kansas City Royals,674841.0,687765.0,Andrew Alvarez,Mitch Spence,2.7455,8.8857,-6.1402,0.2675,0.1071,0.1604,0.0955,0.1607,-0.0652,0.336,0.2232,0.1128,107.87,70.0,37.87,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822725,2026-06-13,2026-06-13T20:05:00+00:00,2026-06-13T14:54:26.594670+00:00,Washington Nationals,Seattle Mariners,676917.0,622491.0,Cade Cavalli,Luis Castillo,3.532,3.9348,-0.4028,0.238,0.2153,0.0227,0.0775,0.0767,0.0008,0.3302,0.3193,0.0109,104.0,100.59,3.41,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
822726,2026-06-12,2026-06-12T22:45:00+00:00,2026-06-12T21:52:30.159126+00:00,Washington Nationals,Seattle Mariners,641793.0,682243.0,Zack Littell,Bryce Miller,6.4625,3.0562,3.4063,0.1408,0.3313,-0.1905,0.0718,0.0307,0.0411,0.2845,0.4,-0.1155,85.95,118.51,-32.56,ok,home=ok (season pitching stats available); away=ok (season pitching stats available),2026-06-29T19:25:21.229694+00:00
