game_id,game_date,start_time,home_team,away_team,venue_name,weather_source,weather_source_status,weather_captured_at,weather_forecast_time,weather_api_endpoint,weather_lat,weather_lon,weather_temp_f,weather_feels_like_f,weather_wind_speed_mph,weather_wind_deg,weather_precip_probability,weather_rain_3h_in,weather_snow_3h_in,weather_condition,weather_is_dome,temp_effect,wind_effect,precip_effect,weather_reason
822727,2026-06-03,2026-06-03T17:05:00+00:00,Washington Nationals,Miami Marlins,Nationals Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.873,-77.0074,85.73,84.4,3.67,356.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
822728,2026-06-02,2026-06-02T22:45:00+00:00,Washington Nationals,Miami Marlins,Nationals Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.873,-77.0074,85.73,84.4,3.67,356.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
822729,2026-05-31,2026-05-31T17:35:00+00:00,Washington Nationals,San Diego Padres,Nationals Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.873,-77.0074,85.73,84.4,3.67,356.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
822730,2026-06-01,2026-06-01T22:45:00+00:00,Washington Nationals,Miami Marlins,Nationals Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.873,-77.0074,85.73,84.4,3.67,356.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
822731,2026-05-30,2026-05-30T20:05:00+00:00,Washington Nationals,San Diego Padres,Nationals Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.873,-77.0074,85.73,84.4,3.67,356.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
822893,2026-05-30,2026-05-30T20:05:00+00:00,Texas Rangers,Kansas City Royals,Globe Life Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,32.7473,-97.084,,,,,,,,,True,0.0,0.0,0.0,
822895,2026-05-31,2026-05-31T18:35:00+00:00,Texas Rangers,Kansas City Royals,Globe Life Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,32.7473,-97.084,,,,,,,,,True,0.0,0.0,0.0,
822971,2026-06-02,2026-06-02T22:40:00+00:00,Tampa Bay Rays,Detroit Tigers,Tropicana Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,27.7682,-82.6534,,,,,,,,,True,0.0,0.0,0.0,
822973,2026-06-03,2026-06-03T17:10:00+00:00,Tampa Bay Rays,Detroit Tigers,Tropicana Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,27.7682,-82.6534,,,,,,,,,True,0.0,0.0,0.0,
822974,2026-06-01,2026-06-01T22:40:00+00:00,Tampa Bay Rays,Detroit Tigers,Tropicana Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,27.7682,-82.6534,,,,,,,,,True,0.0,0.0,0.0,
822975,2026-05-30,2026-05-30T20:10:00+00:00,Tampa Bay Rays,Los Angeles Angels,Tropicana Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,27.7682,-82.6534,,,,,,,,,True,0.0,0.0,0.0,
822976,2026-05-31,2026-05-31T17:40:00+00:00,Tampa Bay Rays,Los Angeles Angels,Tropicana Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,27.7682,-82.6534,,,,,,,,,True,0.0,0.0,0.0,
823050,2026-06-01,2026-06-01T23:45:00+00:00,St. Louis Cardinals,Texas Rangers,Busch Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.6226,-90.1928,83.32,85.73,15.1,155.0,0.0,,,overcast clouds,False,0.0,0.01,0.0,
823051,2026-06-03,2026-06-03T23:45:00+00:00,St. Louis Cardinals,Texas Rangers,Busch Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.6226,-90.1928,83.32,85.73,15.1,155.0,0.0,,,overcast clouds,False,0.0,0.01,0.0,
823052,2026-06-02,2026-06-02T23:45:00+00:00,St. Louis Cardinals,Texas Rangers,Busch Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.6226,-90.1928,83.32,85.73,15.1,155.0,0.0,,,overcast clouds,False,0.0,0.01,0.0,
823053,2026-05-31,2026-05-31T23:20:00+00:00,St. Louis Cardinals,Chicago Cubs,Busch Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.6226,-90.1928,83.32,85.73,15.1,155.0,0.0,,,overcast clouds,False,0.0,0.01,0.0,
823054,2026-05-30,2026-05-30T23:15:00+00:00,St. Louis Cardinals,Chicago Cubs,Busch Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.6226,-90.1928,83.32,85.73,15.1,155.0,0.0,,,overcast clouds,False,0.0,0.01,0.0,
823129,2026-06-02,2026-06-03T01:40:00+00:00,Seattle Mariners,New York Mets,T-Mobile Park,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,47.5914,-122.3325,,,,,,,,,True,0.0,0.0,0.0,
823130,2026-06-03,2026-06-03T19:40:00+00:00,Seattle Mariners,New York Mets,T-Mobile Park,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,47.5914,-122.3325,,,,,,,,,True,0.0,0.0,0.0,
823131,2026-06-01,2026-06-02T01:40:00+00:00,Seattle Mariners,New York Mets,T-Mobile Park,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,47.5914,-122.3325,,,,,,,,,True,0.0,0.0,0.0,
823132,2026-05-30,2026-05-31T02:10:00+00:00,Seattle Mariners,Arizona Diamondbacks,T-Mobile Park,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,47.5914,-122.3325,,,,,,,,,True,0.0,0.0,0.0,
823133,2026-05-31,2026-05-31T20:10:00+00:00,Seattle Mariners,Arizona Diamondbacks,T-Mobile Park,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,47.5914,-122.3325,,,,,,,,,True,0.0,0.0,0.0,
823373,2026-05-31,2026-05-31T17:35:00+00:00,Pittsburgh Pirates,Minnesota Twins,PNC Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.4469,-80.0057,81.61,81.59,2.35,251.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823375,2026-05-30,2026-05-30T20:05:00+00:00,Pittsburgh Pirates,Minnesota Twins,PNC Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.4469,-80.0057,81.61,81.59,2.35,251.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823456,2026-06-03,2026-06-03T22:40:00+00:00,Philadelphia Phillies,San Diego Padres,Citizens Bank Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.9058,-75.1665,84.81,83.48,7.14,296.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823457,2026-06-04,2026-06-04T17:05:00+00:00,Philadelphia Phillies,San Diego Padres,Citizens Bank Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.9058,-75.1665,84.81,83.48,7.14,296.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823460,2026-06-02,2026-06-02T22:40:00+00:00,Philadelphia Phillies,San Diego Padres,Citizens Bank Park,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.9058,-75.1665,84.81,83.48,7.14,296.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823540,2026-06-03,2026-06-03T23:05:00+00:00,New York Yankees,Cleveland Guardians,Yankee Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.8296,-73.9262,80.46,80.26,5.7,146.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823541,2026-06-02,2026-06-02T23:05:00+00:00,New York Yankees,Cleveland Guardians,Yankee Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.8296,-73.9262,80.46,80.26,5.7,146.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823542,2026-06-04,2026-06-04T17:35:00+00:00,New York Yankees,Cleveland Guardians,Yankee Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.8296,-73.9262,80.46,80.26,5.7,146.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823621,2026-05-31,2026-05-31T17:40:00+00:00,New York Mets,Miami Marlins,Citi Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.7571,-73.8458,77.31,76.95,7.38,161.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823622,2026-05-30,2026-05-30T20:10:00+00:00,New York Mets,Miami Marlins,Citi Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,40.7571,-73.8458,77.31,76.95,7.38,161.0,0.0,,,broken clouds,False,0.0,0.0,0.0,
823698,2026-06-04,2026-06-04T23:40:00+00:00,Minnesota Twins,Kansas City Royals,Target Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,44.9817,-93.2777,80.71,83.08,8.16,211.0,1.0,0.029921259842519688,,light rain,False,0.0,0.0,-0.015,
823700,2026-06-02,2026-06-02T23:40:00+00:00,Minnesota Twins,Chicago White Sox,Target Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,44.9817,-93.2777,80.71,83.08,8.16,211.0,1.0,0.029921259842519688,,light rain,False,0.0,0.0,-0.015,
823701,2026-06-03,2026-06-03T17:40:00+00:00,Minnesota Twins,Chicago White Sox,Target Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,44.9817,-93.2777,80.71,83.08,8.16,211.0,1.0,0.029921259842519688,,light rain,False,0.0,0.0,-0.015,
823702,2026-06-01,2026-06-01T23:40:00+00:00,Minnesota Twins,Chicago White Sox,Target Field,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,44.9817,-93.2777,80.71,83.08,8.16,211.0,1.0,0.029921259842519688,,light rain,False,0.0,0.0,-0.015,
823779,2026-06-04,2026-06-04T18:10:00+00:00,Milwaukee Brewers,San Francisco Giants,American Family Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,43.028,-87.9712,,,,,,,,,True,0.0,0.0,0.0,
823780,2026-06-03,2026-06-03T23:40:00+00:00,Milwaukee Brewers,San Francisco Giants,American Family Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,43.028,-87.9712,,,,,,,,,True,0.0,0.0,0.0,
823781,2026-06-01,2026-06-01T23:40:00+00:00,Milwaukee Brewers,San Francisco Giants,American Family Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,43.028,-87.9712,,,,,,,,,True,0.0,0.0,0.0,
823782,2026-06-02,2026-06-02T23:40:00+00:00,Milwaukee Brewers,San Francisco Giants,American Family Field,dome_neutral,dome_neutral,2026-06-04T22:21:04.690872+00:00,,,43.028,-87.9712,,,,,,,,,True,0.0,0.0,0.0,
823944,2026-05-31,2026-05-31T20:10:00+00:00,Los Angeles Dodgers,Philadelphia Phillies,Dodger Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,34.0739,-118.24,80.38,81.57,7.9,217.0,0.0,,,clear sky,False,0.0,0.0,0.0,
823945,2026-05-30,2026-05-31T02:10:00+00:00,Los Angeles Dodgers,Philadelphia Phillies,Dodger Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,34.0739,-118.24,80.38,81.57,7.9,217.0,0.0,,,clear sky,False,0.0,0.0,0.0,
824024,2026-06-03,2026-06-04T01:38:00+00:00,Los Angeles Angels,Colorado Rockies,Angel Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8003,-117.8827,78.78,78.78,9.64,211.0,0.0,,,clear sky,False,0.0,0.0,0.0,
824026,2026-06-02,2026-06-03T01:38:00+00:00,Los Angeles Angels,Colorado Rockies,Angel Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8003,-117.8827,78.78,78.78,9.64,211.0,0.0,,,clear sky,False,0.0,0.0,0.0,
824027,2026-06-01,2026-06-02T01:38:00+00:00,Los Angeles Angels,Colorado Rockies,Angel Stadium,openweather,forecast_ok,2026-06-04T22:21:04.690872+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8003,-117.8827,78.78,78.78,9.64,211.0,0.0,,,clear sky,False,0.0,0.0,0.0,
