game_id,game_date,start_time,captured_at,home_team,away_team,home_top3_player_ids,away_top3_player_ids,home_top3_player_names,away_top3_player_names,home_top3_source_status,away_top3_source_status,home_top3_reason,away_top3_reason,top3_player_source,top3_player_captured_at
822717,2026-06-25,2026-06-25T22:45:00+00:00,2026-06-25T22:27:03.058701+00:00,Washington Nationals,Philadelphia Phillies,"695578,678554,665953","607208,656941,547180","695578,678554,665953","607208,656941,547180",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822718,2026-06-23,2026-06-23T22:45:00+00:00,2026-06-23T21:04:58.426477+00:00,Washington Nationals,Philadelphia Phillies,"695578,678554,665953","607208,656941,547180","695578,678554,665953","607208,656941,547180",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822719,2026-06-24,2026-06-24T22:45:00+00:00,2026-06-24T21:40:46.563377+00:00,Washington Nationals,Philadelphia Phillies,"695578,671277,677588","607208,669016,547180","695578,671277,677588","607208,669016,547180",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822720,2026-06-22,2026-06-22T22:45:00+00:00,2026-06-22T21:09:28.267174+00:00,Washington Nationals,Philadelphia Phillies,"695578,678554,686611","607208,656941,547180","695578,678554,686611","607208,656941,547180",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822721,2026-06-17,2026-06-17T17:05:00+00:00,2026-06-17T13:54:21.557616+00:00,Washington Nationals,Kansas City Royals,"695578,682928,671277","695600,677951,695506","James Wood,CJ Abrams,Luis García Jr.","695600,677951,695506",api_ops,daily_context,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822722,2026-06-14,2026-06-14T17:35:00+00:00,2026-06-14T12:01:32.809155+00:00,Washington Nationals,Seattle Mariners,"695578,682928,671277","686527,668227,670042","James Wood,CJ Abrams,Luis García Jr.","Dominic Canzone,Randy Arozarena,Luke Raley",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822723,2026-06-16,2026-06-16T22:45:00+00:00,2026-06-16T21:14:10.018628+00:00,Washington Nationals,Kansas City Royals,"695578,671277,678554","657041,677951,695506","695578,671277,678554","657041,677951,695506",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822724,2026-06-15,2026-06-15T22:45:00+00:00,2026-06-15T10:30:49.037896+00:00,Washington Nationals,Kansas City Royals,"695578,682928,671277","670231,677951,695506","James Wood,CJ Abrams,Luis García Jr.","John Rave,Bobby Witt Jr.,Jac Caglianone",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822725,2026-06-13,2026-06-13T20:05:00+00:00,2026-06-13T14:54:26.594670+00:00,Washington Nationals,Seattle Mariners,"695578,682928,671277","686527,668227,670042","James Wood,CJ Abrams,Luis García Jr.","Dominic Canzone,Randy Arozarena,Luke Raley",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822726,2026-06-12,2026-06-12T22:45:00+00:00,2026-06-12T21:52:30.159126+00:00,Washington Nationals,Seattle Mariners,"695578,671277,678554","702284,677594,647304","695578,671277,678554","702284,677594,647304",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822727,2026-06-03,2026-06-03T17:05:00+00:00,2026-06-03T14:02:07.840520+00:00,Washington Nationals,Miami Marlins,"695578,682928,671277","665923,672640,669364","James Wood,CJ Abrams,Luis García Jr.","Esteury Ruiz,Otto Lopez,Xavier Edwards",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822728,2026-06-02,2026-06-02T22:45:00+00:00,2026-06-02T21:54:22.349462+00:00,Washington Nationals,Miami Marlins,"695578,671277,678554","681715,672640,669065","695578,671277,678554","681715,672640,669065",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822729,2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T16:07:50.641249+00:00,Washington Nationals,San Diego Padres,"695578,671277,678554","665487,657757,592518","695578,671277,678554","665487,657757,592518",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822730,2026-06-01,2026-06-01T22:45:00+00:00,2026-06-01T21:56:45.773595+00:00,Washington Nationals,Miami Marlins,"695578,671277,678554","689414,672640,669065","695578,671277,678554","689414,672640,669065",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
822731,2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T19:14:08.902169+00:00,Washington Nationals,San Diego Padres,"695578,682928,671277","664034,669392,657757","James Wood,CJ Abrams,Luis García Jr.","Ty France,Samad Taylor,Gavin Sheets",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-29T11:22:08.229662+00:00
